epoch (ms),time (-05:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580495372316,2020-01-31T13.29.32.316,0.000,0.948,0.099,-0.046
1580495372316,2020-01-31T13.29.32.316,0.000,0.958,0.093,-0.044
1580495372316,2020-01-31T13.29.32.316,0.000,0.967,0.089,-0.051
1580495372330,2020-01-31T13.29.32.330,0.014,0.982,0.085,-0.051
1580495372330,2020-01-31T13.29.32.330,0.014,0.985,0.095,-0.053
1580495372330,2020-01-31T13.29.32.330,0.014,0.983,0.101,-0.056
1580495372345,2020-01-31T13.29.32.345,0.029,0.972,0.103,-0.064
1580495372345,2020-01-31T13.29.32.345,0.029,0.952,0.106,-0.075
1580495372345,2020-01-31T13.29.32.345,0.029,0.933,0.102,-0.082
1580495372360,2020-01-31T13.29.32.360,0.044,0.924,0.099,-0.088
1580495372360,2020-01-31T13.29.32.360,0.044,0.933,0.089,-0.087
1580495372360,2020-01-31T13.29.32.360,0.044,0.947,0.075,-0.074
1580495372375,2020-01-31T13.29.32.375,0.059,0.966,0.068,-0.058
1580495372375,2020-01-31T13.29.32.375,0.059,0.980,0.069,-0.037
1580495372375,2020-01-31T13.29.32.375,0.059,0.992,0.076,-0.014
1580495372391,2020-01-31T13.29.32.391,0.075,0.998,0.086,0.004
1580495372391,2020-01-31T13.29.32.391,0.075,1.002,0.097,0.015
1580495372391,2020-01-31T13.29.32.391,0.075,1.004,0.099,0.022
1580495372405,2020-01-31T13.29.32.405,0.089,0.997,0.101,0.015
1580495372405,2020-01-31T13.29.32.405,0.089,0.983,0.103,0.003
1580495372405,2020-01-31T13.29.32.405,0.089,0.963,0.092,-0.011
1580495372421,2020-01-31T13.29.32.421,0.105,0.951,0.083,-0.020
1580495372421,2020-01-31T13.29.32.421,0.105,0.948,0.065,-0.027
1580495372421,2020-01-31T13.29.32.421,0.105,0.948,0.045,-0.034
1580495372443,2020-01-31T13.29.32.443,0.127,0.947,0.028,-0.036
1580495372443,2020-01-31T13.29.32.443,0.127,0.950,0.009,-0.039
1580495372443,2020-01-31T13.29.32.443,0.127,0.956,0.000,-0.030
1580495372451,2020-01-31T13.29.32.451,0.135,0.961,0.001,-0.033
1580495372451,2020-01-31T13.29.32.451,0.135,0.968,0.011,-0.029
1580495372451,2020-01-31T13.29.32.451,0.135,0.974,0.019,-0.023
1580495372465,2020-01-31T13.29.32.465,0.149,0.976,0.016,-0.021
1580495372465,2020-01-31T13.29.32.465,0.149,0.975,0.007,-0.020
1580495372465,2020-01-31T13.29.32.465,0.149,0.970,-0.003,-0.022
1580495372481,2020-01-31T13.29.32.481,0.165,0.970,-0.008,-0.024
1580495372481,2020-01-31T13.29.32.481,0.165,0.967,-0.005,-0.029
1580495372481,2020-01-31T13.29.32.481,0.165,0.968,0.002,-0.033
1580495372503,2020-01-31T13.29.32.503,0.187,0.969,0.007,-0.039
1580495372503,2020-01-31T13.29.32.503,0.187,0.973,0.008,-0.049
1580495372503,2020-01-31T13.29.32.503,0.187,0.973,0.017,-0.063
1580495372511,2020-01-31T13.29.32.511,0.195,0.974,0.027,-0.075
1580495372511,2020-01-31T13.29.32.511,0.195,0.971,0.039,-0.084
1580495372511,2020-01-31T13.29.32.511,0.195,0.968,0.049,-0.087
1580495372533,2020-01-31T13.29.32.533,0.217,0.960,0.049,-0.085
1580495372533,2020-01-31T13.29.32.533,0.217,0.958,0.051,-0.077
1580495372533,2020-01-31T13.29.32.533,0.217,0.963,0.050,-0.058
1580495372547,2020-01-31T13.29.32.547,0.231,0.973,0.055,-0.037
1580495372547,2020-01-31T13.29.32.547,0.231,0.981,0.062,-0.015
1580495372547,2020-01-31T13.29.32.547,0.231,0.991,0.067,0.007
1580495372620,2020-01-31T13.29.32.620,0.304,1.004,0.075,0.025
1580495372620,2020-01-31T13.29.32.620,0.304,1.016,0.078,0.047
1580495372620,2020-01-31T13.29.32.620,0.304,1.025,0.070,0.063
1580495372627,2020-01-31T13.29.32.627,0.311,1.026,0.064,0.073
1580495372627,2020-01-31T13.29.32.627,0.311,1.022,0.054,0.078
1580495372627,2020-01-31T13.29.32.627,0.311,1.024,0.045,0.083
1580495372633,2020-01-31T13.29.32.633,0.317,1.019,0.046,0.084
1580495372633,2020-01-31T13.29.32.633,0.317,1.008,0.045,0.078
1580495372633,2020-01-31T13.29.32.633,0.317,0.993,0.047,0.069
1580495372638,2020-01-31T13.29.32.638,0.322,0.980,0.040,0.054
1580495372638,2020-01-31T13.29.32.638,0.322,0.965,0.033,0.039
1580495372638,2020-01-31T13.29.32.638,0.322,0.952,0.015,0.019
1580495372642,2020-01-31T13.29.32.642,0.326,0.941,0.006,0.000
1580495372642,2020-01-31T13.29.32.642,0.326,0.923,0.000,-0.019
1580495372642,2020-01-31T13.29.32.642,0.326,0.912,-0.011,-0.029
1580495372647,2020-01-31T13.29.32.647,0.331,0.909,-0.006,-0.035
1580495372647,2020-01-31T13.29.32.647,0.331,0.917,-0.011,-0.038
1580495372647,2020-01-31T13.29.32.647,0.331,0.921,-0.012,-0.032
1580495372653,2020-01-31T13.29.32.653,0.337,0.922,-0.007,-0.020
1580495372653,2020-01-31T13.29.32.653,0.337,0.927,-0.010,-0.012
1580495372653,2020-01-31T13.29.32.653,0.337,0.937,-0.004,-0.002
1580495372668,2020-01-31T13.29.32.668,0.352,0.946,-0.007,0.010
1580495372668,2020-01-31T13.29.32.668,0.352,0.956,-0.011,0.019
1580495372668,2020-01-31T13.29.32.668,0.352,0.967,-0.013,0.031
1580495372683,2020-01-31T13.29.32.683,0.367,0.975,-0.018,0.026
1580495372683,2020-01-31T13.29.32.683,0.367,0.979,-0.023,0.025
1580495372683,2020-01-31T13.29.32.683,0.367,0.979,-0.032,0.020
1580495372698,2020-01-31T13.29.32.698,0.382,0.980,-0.042,0.019
1580495372698,2020-01-31T13.29.32.698,0.382,0.982,-0.045,0.011
1580495372698,2020-01-31T13.29.32.698,0.382,0.987,-0.042,-0.006
1580495372713,2020-01-31T13.29.32.713,0.397,1.000,-0.035,-0.023
1580495372713,2020-01-31T13.29.32.713,0.397,1.006,-0.023,-0.037
1580495372713,2020-01-31T13.29.32.713,0.397,1.009,-0.006,-0.050
1580495372728,2020-01-31T13.29.32.728,0.412,1.002,0.007,-0.061
1580495372728,2020-01-31T13.29.32.728,0.412,0.998,0.025,-0.065
1580495372728,2020-01-31T13.29.32.728,0.412,1.002,0.039,-0.064
1580495372743,2020-01-31T13.29.32.743,0.427,1.006,0.054,-0.049
1580495372743,2020-01-31T13.29.32.743,0.427,1.004,0.067,-0.032
